_5_digit_ntd_id,_4_digit_ntd_id,agency,organization_type,mode,type_of_service,rail_y_n,primary_uza_code,primary_uza_name,primary_uza_sq_miles,primary_uza_population,service_area_sq_miles,service_area_population,year,month,vehicles,vehicle_revenue_miles,vehicle_revenue_hours,ridership,collisions_with_motor_vehicle,collisions_with_person,collisions_with_fixed_object,collisions_with_rail_vehicle,collisions_with_bus_vehicle,collisions_with_other,total_collisions,total_derailments,total_fires,total_security_events,total_events_not_otherwise,total_events,passenger_fatalities,people_waiting_or_leaving,operator_fatalities,other_employee_fatalities,total_employee_fatalities,other_worker_fatalities,bicyclist_fatalities,pedestrian_in_crosswalk,pedestrian_not_in_crosswalk,pedestrian_crossing_tracks,pedestrian_walking_along,other_vehicle_occupant,other_fatalities,trespasser_fatalities,suicide_fatalities,total_other_fatalities,total_fatalities,passenger_injuries,people_waiting_or_leaving_1,operator_injuries,other_employee_injuries,total_employee_injuries,other_worker_injuries,bicyclist_injuries,pedestrian_in_corsswalk,pedestrian_not_in_crosswalk_1,pedestrian_crossing_tracks_1,pedestrian_walking_along_1,other_vehicle_occupant_1,other_injuries,trespasser_injuries,suicide_injuries,total_other_injuries,total_injuries
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",MB,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,9,252,793819,65111,2552557,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",MB,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,10,251,841507,69507,2657152,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,8
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,11,98,204599,18328,28150,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",MB,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,11,251,761170,62502,2241678,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",MB,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,12,251,820480,67553,2325266,2,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,7
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,1,94,189004,17615,27511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,2,90,170304,15724,24662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,3,96,215266,18348,31323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,6,97,220400,19532,31046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206,2206,County of Nassau,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,285,1339532,2014,7,93,224171,19598,30440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
